country,year,population_adult
Finland,1990,3773819
Finland,1991,3791624
Finland,1992,3812197
Finland,1993,3826142
Finland,1994,3843773
Finland,1995,3863820
Finland,1996,3884593
Finland,1997,3904334
Finland,1998,3923858
Finland,1999,3942704
Finland,2000,3960482
Finland,2001,3977762
Finland,2002,4001483
Finland,2003,4024158
Finland,2004,4046263
Finland,2005,4068035
Finland,2006,4089872
Finland,2007,4111734
Finland,2008,4138779
Finland,2009,4166895
Finland,2010,4195425
Finland,2011,4222063
Finland,2012,4252415
Finland,2013,4280460
Finland,2014,4308971
Finland,2015,4332865
Finland,2016,4352183
Finland,2017,4371154
Finland,2018,4385380
Finland,2019,4399339
Finland,2020,4416388
Finland,2021,4432697
Finland,2022,4451607
Finland,2023,4475118
Sweden,1960,5315453
Sweden,1961,5339185
Sweden,1962,5389998
Sweden,1963,5444966
Sweden,1964,5508763
Sweden,1965,5581232
Sweden,1966,5660011
Sweden,1967,5730783
Sweden,1968,5784633
Sweden,1969,5830143
Sweden,1970,5896395
Sweden,1971,5961546
Sweden,1972,5994004
Sweden,1973,6009490
Sweden,1974,6024627
Sweden,1975,6054768
Sweden,1976,6087296
Sweden,1977,6118749
Sweden,1978,6154316
Sweden,1979,6183074
Sweden,1980,6207811
Sweden,1981,6230980
Sweden,1982,6251056
Sweden,1983,6277834
Sweden,1984,6313161
Sweden,1985,6353122
Sweden,1986,6391031
Sweden,1987,6430007
Sweden,1988,6465999
Sweden,1989,6499603
Sweden,1990,6550278
Sweden,1991,6594524
Sweden,1992,6631510
Sweden,1993,6662709
Sweden,1994,6701536
Sweden,1995,6750110
Sweden,1996,6768517
Sweden,1997,6780166
Sweden,1998,6788261
Sweden,1999,6802718
Sweden,2000,6819740
Sweden,2001,6843427
Sweden,2002,6869808
Sweden,2003,6895996
Sweden,2004,6925478
Sweden,2005,6959916
Sweden,2006,6998763
Sweden,2007,7056859
Sweden,2008,7124767
Sweden,2009,7196915
Sweden,2010,7285186
Sweden,2011,7363982
Sweden,2012,7436037
Sweden,2013,7504247
Sweden,2014,7576161
Sweden,2015,7651982
Sweden,2016,7719129
Sweden,2017,7809834
Sweden,2018,7887400
Sweden,2019,7961682
Sweden,2020,8034548
Sweden,2021,8073463
Sweden,2022,8134443
Sweden,2023,8204888
Norway,1960,2433293
Norway,1961,2442968
Norway,1962,2461209
Norway,1963,2481898
Norway,1964,2506527
Norway,1965,2533359
Norway,1966,2566108
Norway,1967,2596090
Norway,1968,2625542
Norway,1969,2650529
Norway,1970,2674256
Norway,1971,2693856
Norway,1972,2718102
Norway,1973,2744540
Norway,1974,2768674
Norway,1975,2794621
Norway,1976,2819710
Norway,1977,2844628
Norway,1978,2869999
Norway,1979,2894194
Norway,1980,2915686
Norway,1981,2938356
Norway,1982,2962049
Norway,1983,2987838
Norway,1984,3013677
Norway,1985,3039645
Norway,1986,3066917
Norway,1987,3095618
Norway,1988,3129255
Norway,1989,3160111
Norway,1990,3177845
Norway,1991,3198502
Norway,1992,3224010
Norway,1993,3248917
Norway,1994,3270888
Norway,1995,3289755
Norway,1996,3303877
Norway,1997,3316475
Norway,1998,3332147
Norway,1999,3351253
Norway,2000,3371928
Norway,2001,3388274
Norway,2002,3403290
Norway,2003,3422725
Norway,2004,3440351
Norway,2005,3462105
Norway,2006,3489711
Norway,2007,3523941
Norway,2008,3574702
Norway,2009,3630376
Norway,2010,3683216
Norway,2011,3740283
Norway,2012,3802181
Norway,2013,3862487
Norway,2014,3916280
